Publication Number,Chemical Name,Depositor Chemical Name,DTXSID,CASRN,Species,Strain,Study Number,MALE_RATS_TR_RESULT,FEMALE_RATS_TR_RESULT,MALE_MICE_TR_RESULT,FEMALE_MICE_TR_RESULT,MALE_HAMSTERS_TR_RESULT,FEMALE_HAMSTERS_TR_RESULT,MALE_FISH_TR_RESULT,FEMALE_FISH_TR_RESULT,MALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_RATS_ADRENAL_GLAND_CORTEX,FEMALE_MICE_ADRENAL_GLAND_CORTEX,MALE_RATS_ADRENAL_GLAND_MEDULLA,FEMALE_RATS_ADRENAL_GLAND_MEDULLA,MALE_MICE_ADRENAL_GLAND_MEDULLA,FEMALE_MICE_ADRENAL_GLAND_MEDULLA,MALE_RATS_ALL_ORGANS,FEMALE_RATS_ALL_ORGANS,MALE_MICE_ALL_ORGANS,FEMALE_MICE_ALL_ORGANS,MALE_RATS_BONE,MALE_RATS_BRAIN,FEMALE_RATS_BRAIN,MALE_MICE_BRAIN,FEMALE_MICE_BRAIN,FEMALE_RATS_CLITORAL_GLAND,MALE_RATS_EPIDIDYMIS,MALE_MICE_EPIDIDYMIS,MALE_RATS_EPIDIDYMIS_OR_TESTIS,MALE_RATS_ESOPHAGUS,FEMALE_RATS_ESOPHAGUS,MALE_MICE_ESOPHAGUS,FEMALE_MICE_ESOPHAGUS,MALE_RATS_FORESTOMACH,FEMALE_RATS_FORESTOMACH,MALE_MICE_FORESTOMACH,FEMALE_MICE_FORESTOMACH,MALE_RATS_GLANDULAR_STOMACH,FEMALE_RATS_GLANDULAR_STOMACH,MALE_MICE_GLANDULAR_STOMACH,MALE_MICE_HARDERIAN_GLAND,FEMALE_MICE_HARDERIAN_GLAND,MALE_RATS_HEART,FEMALE_RATS_HEART,MALE_MICE_HEART,FEMALE_MICE_HEART,MALE_RATS_HEMATOPOIETIC_SYSTEM,FEMALE_RATS_HEMATOPOIETIC_SYSTEM,MALE_MICE_HEMATOPOIETIC_SYSTEM,FEMALE_MICE_HEMATOPOIETIC_SYSTEM,MALE_RATS_INTESTINES_LARGE,FEMALE_RATS_INTESTINES_LARGE,MALE_MICE_INTESTINES_LARGE,FEMALE_MICE_INTESTINES_LARGE,MALE_RATS_INTESTINES_SMALL,FEMALE_RATS_INTESTINES_SMALL,MALE_MICE_INTESTINES_SMALL,FEMALE_MICE_INTESTINES_SMALL,MALE_RATS_KIDNEY,MALE_MICE_KIDNEY,FEMALE_RATS_KIDNEY_MESENCHYMAL_CELL,MALE_RATS_KIDNEY_TRANSITIONAL_CELL,FEMALE_RATS_KIDNEY_TRANSITIONAL_CELL,MALE_RATS_KIDNEY_TUBULAR_CELL,FEMALE_RATS_KIDNEY_TUBULAR_CELL,MALE_MICE_KIDNEY_TUBULAR_CELL,FEMALE_MICE_KIDNEY_TUBULAR_CELL,MALE_RATS_LIVER,FEMALE_RATS_LIVER,MALE_MICE_LIVER,FEMALE_MICE_LIVER,MALE_FISH_LIVER,FEMALE_FISH_LIVER,MALE_RATS_LUNG,FEMALE_RATS_LUNG,MALE_MICE_LUNG,FEMALE_MICE_LUNG,MALE_RATS_MAMMARY_GLAND,FEMALE_RATS_MAMMARY_GLAND,FEMALE_MICE_MAMMARY_GLAND,MALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_RATS_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,FEMALE_MICE_MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,MALE_RATS_NASAL_CAVITY,FEMALE_RATS_NASAL_CAVITY,MALE_MICE_NASAL_CAVITY,FEMALE_MICE_NASAL_CAVITY,MALE_RATS_ORAL_CAVITY,FEMALE_RATS_ORAL_CAVITY,MALE_MICE_ORAL_CAVITY,FEMALE_MICE_ORAL_CAVITY,FEMALE_MICE_OVARY,MALE_RATS_PANCREAS_ACINAR_CELL,FEMALE_RATS_PANCREAS_ACINAR_CELL,MALE_RATS_PANCREAS_ISLET_CELL,FEMALE_RATS_PANCREAS_ISLET_CELL,MALE_MICE_PANCREAS_ISLET_CELL,FEMALE_MICE_PANCREAS_ISLET_CELL,MALE_RATS_PARATHYROID_GLAND,MALE_RATS_PITUITARY_GLAND,FEMALE_RATS_PITUITARY_GLAND,MALE_MICE_PITUITARY_GLAND,FEMALE_MICE_PITUITARY_GLAND,MALE_RATS_PREPUTIAL_GLAND,MALE_MICE_PREPUTIAL_GLAND,MALE_RATS_PROSTATE_GLAND,MALE_RATS_SEMINAL_VESICLE,MALE_MICE_SEMINAL_VESICLE,MALE_RATS_SKIN,FEMALE_RATS_SKIN,MALE_MICE_SKIN,FEMALE_MICE_SKIN,MALE_RATS_SPLEEN,FEMALE_RATS_SPLEEN,MALE_MICE_SPLEEN,FEMALE_MICE_SPLEEN,MALE_RATS_SUBCUTANEOUS_TISSUE,FEMALE_RATS_SUBCUTANEOUS_TISSUE,MALE_MICE_SUBCUTANEOUS_TISSUE,FEMALE_MICE_SUBCUTANEOUS_TISSUE,MALE_RATS_TESTIS,MALE_RATS_THORACIC_CAVITY,MALE_RATS_THYMUS,MALE_RATS_THYROID_GLAND,FEMALE_RATS_THYROID_GLAND,MALE_RATS_THYROID_GLAND_CCELL,FEMALE_RATS_THYROID_GLAND_CCELL,FEMALE_MICE_THYROID_GLAND_CCELL,MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,MALE_RATS_URETER,FEMALE_RATS_URETER,MALE_MICE_URETER,FEMALE_MICE_URETER,MALE_RATS_URINARY_BLADDER,FEMALE_RATS_URINARY_BLADDER,MALE_MICE_URINARY_BLADDER,FEMALE_MICE_URINARY_BLADDER,MALE_MICE_URINARY_SYSTEM,FEMALE_MICE_URINARY_SYSTEM,FEMALE_RATS_UTERUS,FEMALE_MICE_UTERUS,FEMALE_RATS_UTERUSCERVIX,FEMALE_MICE_UTERUSCERVIX,FEMALE_MICE_VAGINA,MALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_MICE_VASCULAR_SYSTEM_HEART,FEMALE_RATS_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_LIVER,FEMALE_MICE_VASCULAR_SYSTEM_LIVER,MALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,MALE_RATS_VASCULAR_SYSTEM_SPLEEN,MALE_MICE_VASCULAR_SYSTEM_SPLEEN,FEMALE_MICE_VASCULAR_SYSTEM_SPLEEN,MALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_RATS_VASCULAR_SYSTEM_UNSPECIFIED,MALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,FEMALE_MICE_VASCULAR_SYSTEM_UNSPECIFIED,MALE_RATS_ZYMBAL_GLAND,FEMALE_RATS_ZYMBAL_GLAND,MALE_MICE_ZYMBAL_GLAND,FEMALE_MICE_ZYMBAL_GLAND
TR-277,Tremolite,Tremolite,DTXSID0030744,14567-73-8,Rats,F344/N,C08991,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-168,N-(1-Naphthyl)ethylenediamine dihydrochloride,N-(1-Naphthyl)ethylenediamine dihydrochloride,DTXSID8020917,1465-25-4,Mice,B6C3F1,C03281,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-168,N-(1-Naphthyl)ethylenediamine dihydrochloride,N-(1-Naphthyl)ethylenediamine dihydrochloride,DTXSID8020917,1465-25-4,Rats,F344/N,C03281,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-355,Diphenhydramine hydrochloride,Diphenhydramine hydrochloride,DTXSID4020537,147-24-0,Mice,B6C3F1,C56075,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-355,Diphenhydramine hydrochloride,Diphenhydramine hydrochloride,DTXSID4020537,147-24-0,Rats,F344/N,C56075,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ASTROCYTOMA 0/49 0/49 3/50 OR GLIOMA 1/49 0/49 1/50 COMBINED 1/49 0/49 4/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-355,Diphenhydramine hydrochloride,Diphenhydramine hydrochloride,DTXSID4020537,147-24-0,Rats,F344/N,C56075,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 0/49 5/50 3/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 1/49 1/50 2/50 COMBINED 1/49 6/50 5/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-355,Diphenhydramine hydrochloride,Diphenhydramine hydrochloride,DTXSID4020537,147-24-0,Rats,F344/N,C56075,Equivocal Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 23/50 26/50 35/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-456,"1,2-Dihydro-2,2,4-trimethylquinoline (monomer)","1,2-Dihydro-2,2,4-trimethylquinoline (monomer)",DTXSID0025070,147-47-7,Mice,B6C3F1,C60902B,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-456,"1,2-Dihydro-2,2,4-trimethylquinoline (monomer)","1,2-Dihydro-2,2,4-trimethylquinoline (monomer)",DTXSID0025070,147-47-7,Mice,Sencar,C60902B,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-456,"1,2-Dihydro-2,2,4-trimethylquinoline (monomer)","1,2-Dihydro-2,2,4-trimethylquinoline (monomer)",DTXSID0025070,147-47-7,Rats,F344/N,C60902B,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA (SINGLE SECTIONS) 1/50 7/50 10/50 7/50 (STEP SECTIONS) 6/50 5/50 6/50 8/50 (COMBINED) 7/50 11/50 14/50 14/50; CARCINOMA (SINGLE SECTIONS) 0/50 1/50 0/50 0/50 (STEP SECTIONS) 0/50 1/50 0/50 0/50 (COMBINED) 0/50 1/50 0/50 0/50; ADENOMA OR CARCINOMA COMBINED (SINGLE SECTIONS) 1/50 8/50 10/50 7/50 (STEP SECTIONS) 6/50 6/50 6/50 8/50 (COMBINED) 7/50 12/50 14/50 14/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-421,Talc,Talc,DTXSID5032109,14807-96-6,Rats,F344/N,C06008,Some Evidence,Clear Evidence,,,,,,,,,,Neoplastic Lesions~PHEOCHROMOCYTOMA 25/49 30/48 36/47 OR MALIGNANT PHEOCHROMOCYTOMA 3/49 3/48 7/47 COMBINED 26/49 32/48 37/47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-421,Talc,Talc,DTXSID5032109,14807-96-6,Rats,F344/N,C06008,Some Evidence,Clear Evidence,,,,,,,,,,,Neoplastic Lesions~PHEOCHROMOCYTOMA 13/48 14/47 18/49 OR MALIGNANT PHEOCHROMOCYTOMA 0/48 1/47 10/49 COMBINED 13/48 14/47 23/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-421,Talc,Talc,DTXSID5032109,14807-96-6,Rats,F344/N,C06008,Some Evidence,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ALVEOLAR/BRONCHIOLAR ADENOMA 1/50 0/48 9/50 OR ALVEOLAR/BRONCHIOLAR CARCINOMA 0/50 0/48 5/50 COMBINED  1/50 0/48 13/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-172,Sodium diethyldithiocarbamate,Sodium diethyldithiocarbamate,DTXSID3022956,148-18-5,Mice,B6C3F1,C02835,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-172,Sodium diethyldithiocarbamate,Sodium diethyldithiocarbamate,DTXSID3022956,148-18-5,Rats,F344/N,C02835,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-276,8-Hydroxyquinoline,8-Hydroxyquinoline,DTXSID5020730,148-24-3,Mice,B6C3F1,C55298,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-276,8-Hydroxyquinoline,8-Hydroxyquinoline,DTXSID5020730,148-24-3,Rats,F344/N,C55298,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Mice,B6C3F1,C56519,,,No Evidence,Equivocal Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 3/50 7/49 4/50 OR CARCINOMA 1/50 5/49 0/50 COMBINED 4/50 12/49 4/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,Neoplastic Lesions~PHEOCHROMOCYTOMA 18/50 25/50 22/49 OR MALIGNANT PHEOCHROMOCYTOMA 0/50 2/50 2/49 COMBINED 18/50 27/50 24/49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,,Neoplastic Lesions~PHEOCHROMOCYTOMA 1/50 5/50 6/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~LEUKEMIA 7/50 16/50 3/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 2/50 13/50 6/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 15/49 24/50 25/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-332,2-Mercaptobenzothiazole,2-Mercaptobenzothiazole,DTXSID1020807,149-30-4,Rats,F344/N,C56519,Some Evidence,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/50 4/50 4/50 OR CARCINOMA 1/50 2/50 1/50 COMBINED 1/50 6/50 5/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-011,Trisodium ethylenediaminetetraacetate trihydrate (EDTA),Trisodium ethylenediaminetetraacetate trihydrate (EDTA),DTXSID7020556,150-38-9,Mice,B6C3F1,C03974,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-011,Trisodium ethylenediaminetetraacetate trihydrate (EDTA),Trisodium ethylenediaminetetraacetate trihydrate (EDTA),DTXSID7020556,150-38-9,Rats,F344/N,C03974,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-266,Monuron,Monuron,DTXSID0020311,150-68-5,Mice,B6C3F1,C02846,,,No Evidence,No Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-266,Monuron,Monuron,DTXSID0020311,150-68-5,Rats,F344/N,C02846,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~ADENOMA 0/50 2/50 7/50 OR ADENOCARCINOMA 0/50 1/50 8/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-266,Monuron,Monuron,DTXSID0020311,150-68-5,Rats,F344/N,C02846,Clear Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~NEOPLASTIC NODULE 1/50 6/49 7/50 OR CARCINOMA 0/50 1/49 3/50 COMBINED 1/50 6/49 9/50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-098,DL-menthol,DL-menthol,DTXSID1020805,15356-70-4,Mice,B6C3F1,C50000,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-098,DL-menthol,DL-menthol,DTXSID1020805,15356-70-4,Rats,F344/N,C50000,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-200,"2,6-Toluenediamine dihydrochloride","2,6-Toluenediamine dihydrochloride (2,6-diaminotoluene dihydrochloride)",DTXSID4020404,15481-70-6,Mice,B6C3F1,C50317,,,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-200,"2,6-Toluenediamine dihydrochloride","2,6-Toluenediamine dihydrochloride (2,6-diaminotoluene dihydrochloride)",DTXSID4020404,15481-70-6,Rats,F344/N,C50317,Negative,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-190,p-Nitrosodiphenylamine,p-Nitrosodiphenylamine,DTXSID1021031,156-10-5,Mice,B6C3F1,C02244,,,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-190,p-Nitrosodiphenylamine,p-Nitrosodiphenylamine,DTXSID1021031,156-10-5,Rats,F344/N,C02244,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplastic Lesions~(NEOPLASTIC NODULE OR CARCINOMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR-576,Trimethylolpropane triacrylate,Trimethylolpropane triacrylate,DTXSID0027773,15625-89-5,Mice,B6C3F1,C88133C,,,,Some Evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neoplastic Lesions~hepatoblastoma 0/50, 4/50, 0/50, 3/50; hepatocholangiocarcinoma 0/50, 0/50, 1/50, 2/50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
