CEBS_PubNumber,CEBS_TestArticleName,CEBS_DTXSID,CEBS_CASRN,CEBS_AMES_CONCLUSION,CEBS_MALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_RAT_IN_VIVO_MICRONUCLEUS,CEBS_MALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_FEMALE_MOUSE_IN_VIVO_MICRONUCLEUS,CEBS_IN_VITRO_MN_CONCLUSION,CEBS_MALE_RAT_COMET,CEBS_FEMALE_RAT_COMET,CEBS_MALE_MOUSE_COMET,CEBS_FEMALE_MOUSE_COMET
TR-343,Benzyl alcohol,DTXSID5020152,100-51-6,Negative,,,,,,,,,
TR-378,Benzaldehyde,DTXSID8039241,100-52-7,Negative; Negative,,,,,,,,,
,N-Methyl aniline,DTXSID9021841,100-61-8,Negative,,,,,,,,,
,Cyclohexanone oxime,DTXSID4021842,100-64-1,Positive,,,Negative; Negative,Negative,,,,,
,N-Phenylhydroxylamine,DTXSID3025889,100-65-2,Positive,,,,,,,,,
,2-Vinylpyridine,DTXSID1026667,100-69-6,Positive,,,,,,,,,
,N-Ethylmorpholine,DTXSID5025312,100-74-3,Weakly Positive,,,,,,,,,
,N-Nitrosopiperidine,DTXSID8021060,100-75-4,Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,Urotropine,DTXSID6020692,100-97-0,Equivocal; Equivocal,,,,,,,,,
TR-454,Nickel sulfate hexahydrate,DTXSID7020928,10101-97-0,Negative,,,,,,,,,
,Triphenyl phosphite,DTXSID0026252,101-02-0,Negative,,,,,,,,,
TR-104,Anilazine,DTXSID9020089,101-05-3,Negative,,,,,,,,,
,Cadmium chloride,DTXSID6020226,10108-64-2,Negative,,,,,,,,,
,"4,4'-Methylenebis(2-chloroaniline)",DTXSID5020865,101-14-4,Weakly Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Positive; Equivocal,,,,,,,,,
,Bismark brown Y,DTXSID5024558,10114-58-6,Positive,,,,,,,,,
,3-Hydroxy-N-phenylaniline,DTXSID1025431,101-18-8,Negative,,,,,,,,,
,Triclocarban,DTXSID4026214,101-20-2,Negative,,,,,,,,,
,Pyridostigmine bromide,DTXSID9023540,101-26-8,Negative,,,,,,,,,
,N-Ethyl Acetoacetamide,DTXSID7040108,10138-46-2,Negative,,,Negative,,,,,Positive,
,alpha-Methyl cinnamaldehyde,DTXSID4025587,101-39-3,Negative; Negative,,,,,,,,,
,"2,3-Dimethyl-1-pentanol",DTXSID1025142,10143-23-4,Negative,,,,,,,,,
TR-082,N-Phenyl-p-phenylenediamine,DTXSID7025895,101-54-2,Negative,,,,,,,,,
TR-186,"4,4'-Methylenebis(N,N-dimethyl)benzenamine",DTXSID5020869,101-61-1,Positive,,,,,,,,,
,"4,4'-Dioctyldiphenylamine",DTXSID3025170,101-67-7,Negative,,,,,,,,,
,"4,4'-Diphenylmethane diisocyanate",DTXSID7025180,101-68-8,Negative,,,,,,,,,
,C.I. Acid Red 97,DTXSID1024419,10169-02-5,Negative,,,,,,,,,
,"4,4'-Dimethoxydiphenylamine",DTXSID3025093,101-70-2,Negative,,,,,,,,,
,N-Isopropyl-N'-phenyl-p-phenylenediamine,DTXSID1025485,101-72-4,Negative,,,,,,,,,
,p-Isopropoxydiphenylamine,DTXSID2020763,101-73-5,Negative,,,,,,,,,
,Methylenedianiline,DTXSID6022422,101-77-9,Positive,,,Positive (Nonstandard Protocol),,,,,,
TR-205,"4,4'-Oxydianiline",DTXSID0021094,101-80-4,Positive,,,Positive,,,,,,
,Dicyclohexylamine,DTXSID6025018,101-83-7,Negative,,,,,,,,,
,Diphenyl oxide,DTXSID9021847,101-84-8,Negative,,,,,,,,,
TR-257,Diglycidyl resorcinol ether (DGRE),DTXSID2020470,101-90-6,Positive,,,Positive; Negative,,,,,,
,"N,N'-Di-sec-butyl-p-phenyldiamine",DTXSID7024956,101-96-2,Negative; Negative,,,,,,,,,
,Acetoacetanilide,DTXSID0024397,102-01-2,Negative,,,,,,,,,
,"1,3-Diphenylguanidine",DTXSID3025178,102-06-7,Weakly Positive,,,Negative,Equivocal,,,,,
,Diphenylurea,DTXSID2025183,102-07-8,Equivocal,,,,,,,,,
,Thiocarbanilide,DTXSID4026139,102-08-9,Negative; Equivocal,,,,,,,,,
,Sodium Tungstate Dihydrate,DTXSID0032079,10213-10-2,Negative,Negative,Negative,Negative,Negative,,Positive,Positive,,
,3-((Ethylhexyl)oxy)propionitrile,DTXSID6025303,10213-75-9,Negative,,,,,,,,,
,Benzyl phenylacetate,DTXSID6024597,102-16-9,Negative,,,,,,,,,
,m-Aminoacetanilide,DTXSID2024454,102-28-3,Positive,,,,,,,,,
TR-105,m-Cresidine,DTXSID2020349,102-50-1,Positive,,,,,,,,,
,Triallyl isocyanurate,DTXSID0026175,1025-15-6,Negative,,,,,,,,,
,Ferrocene,DTXSID9025326,102-54-5,Negative; Negative; Equivocal,,,,,,,,,
,Tri-N-propylamine,DTXSID9021849,102-69-2,Negative,,,,,,,,,
,Triallylamine,DTXSID5026174,102-70-5,Negative,,,,,,,,,
"TR-449, TR-518",Triethanolamine,DTXSID9021392,102-71-6,Negative,,,Negative,Negative,,,,,
,Triacetin,DTXSID3026691,102-76-1,Negative,,,,,,,,,
,Lanthanum nitrate hexahydrate,DTXSID6025488,10277-43-7,Negative,,,,,,,,,
,2-(Dibutylamino)ethanol,DTXSID2024953,102-81-8,Negative,,,,,,,,,
,Tributylamine,DTXSID4026183,102-82-9,Negative,,,,,,,,,
TR-170,beta-Nitrostyrene,DTXSID0025789,102-96-5,Weakly Positive; Negative,,,,,,,,,
,2-Ethylhexyl acrylate,DTXSID9025297,103-11-7,Negative; Negative,,,,,,,,,
,Dibromodulcitol,DTXSID8020414,10318-26-0,Positive,,,,,,,,,
TR-212,Di(2-ethylhexyl)adipate,DTXSID0020606,103-23-1,Negative; Negative; Negative,,,Negative,,,,,,
TR-432,Barium chloride dihydrate,DTXSID2020131,10326-27-9,Negative,,,,,,,,,
,trans-Stilbene,DTXSID4026050,103-30-0,Negative,,,,,,,,,
TR-154,Azobenzene,DTXSID8020123,103-33-3,Positive; Positive; Positive,,,,,,,,,
,Chlordecone alcohol,DTXSID1024752,1034-41-9,Negative,,,,,,,,,
,"1,1-Oxybis methylene, bis benzene",DTXSID5025819,103-50-4,Negative,,,,,,,,,
,N-Ethyl aniline,DTXSID1025271,103-69-5,Negative,,,,,,,,,
,Formanilide,DTXSID3025338,103-70-8,Negative; Negative,,,,,,,,,
,Acetanilide,DTXSID2022543,103-84-4,Negative,,,,,,,,,
TR-148,1-Phenyl-2-thiourea,DTXSID9021134,103-85-5,Negative,,,,,,,,,
,N-Acetyl-p-toluidine,DTXSID6024414,103-89-9,Weakly Positive,,,,,,,,,
TR-394,Acetaminophen (4-hydroxyacetanilide),DTXSID2020006,103-90-2,Negative,,,,,,,,,
,2-Ethoxyethyl p-methoxycinnamate,DTXSID2025264,104-28-9,Negative,,,,,,,,,
,Anethole,DTXSID4020086,104-46-1,Negative,,,,,,,,,
,p-Phenylene diisocyanate,DTXSID3025883,104-49-4,Negative,,,,,,,,,
TR-514,Cinnamaldehyde,DTXSID1024835,104-55-2,,,,Negative,,,,,,
,2-Ethylhexylamine,DTXSID4025298,104-75-6,Negative,,,,,,,,,
,2-Ethylhexanol,DTXSID5020605,104-76-7,Negative,,,,,,,,,
,p-Tolunitrile,DTXSID6026169,104-85-8,Negative,,,,,,,,,
,4-Chlorobenzaldehyde,DTXSID2021860,104-88-1,Negative,,,,,,,,,
,4-Nitrosophenol,DTXSID0025991,104-91-6,Weakly Positive,,,,,,,,,
,p-Anisidine,DTXSID7024532,104-94-9,Positive; Positive; Negative,,,,,,,,,
,"1,4-Cyclohexanedimethanol",DTXSID9026712,105-08-8,Negative,,,,,,,,,
TR-179,p-Benzoquinone dioxime,DTXSID8021222,105-11-3,Positive; Positive,,,,,,,,,
,Ethyl bromoacetate,DTXSID4020587,105-36-2,Positive,,,,,,,,,
,Ethyl propionate,DTXSID1040110,105-37-3,Negative,,,,,,,,,
,Ethyl butyrate,DTXSID6040111,105-54-4,Negative,,,,,,,,,
TR-149,"N,N'-Diethylthiourea",DTXSID8020466,105-55-5,Negative,,,,,,,,,
,Acetal,DTXSID6030607,105-57-7,Positive; Negative,,,,,,,,,
,Diethyl carbonate,DTXSID3025041,105-58-8,Negative,,,,,,,,,
,N-Methyldiethanolamine,DTXSID8025591,105-59-9,Negative,,,,,,,,,
TR-214,Caprolactam,DTXSID4020240,105-60-2,Negative,,,Negative,,,,,,
,"2,4-Dimethylphenol",DTXSID2021864,105-67-9,Weakly Positive; Weakly Positive; Negative,,,,,,,,,
TR-252,Geranyl acetate,DTXSID0020654,105-87-3,Negative,,,Negative; Negative,,,,,,
,"3-Acetyl-2,5-dimethylfuran",DTXSID1030317,10599-70-9,Positive,,,,,,,,,
,Carbendazim,DTXSID4024729,10605-21-7,Positive,,,,,,,,,
,"2,2'-Diethylhexylamine",DTXSID7025053,106-20-7,Negative,,,,,,,,,
,Citronellol,DTXSID3026726,106-22-9,Negative,,,,,,,,,
,Ethyl heptanoate,DTXSID1040112,106-30-9,Negative,,,,,,,,,
,p-Bromotoluene,DTXSID7024661,106-38-7,Negative,,,,,,,,,
,p-Bromoaniline,DTXSID7021867,106-40-1,Negative,,,,,,,,,
,p-Xylene,DTXSID2021868,106-42-3,Negative,,,,,,,,,
,p-Chlorotoluene,DTXSID8024814,106-43-4,Negative,,,,,,,,,
,p-Cresol,DTXSID7021869,106-44-5,Negative,,,,,,,,,
,C.I. Acid Black 1,DTXSID1024415,1064-48-8,Positive,,,,,,,,,
TR-319,"1,4-Dichlorobenzene (p-dichlorobenzene)",DTXSID1020431,106-46-7,Negative,,,Negative; Negative,Negative,,,,,
TR-189,p-Chloroaniline,DTXSID9020295,106-47-8,Weakly Positive; Positive; Negative,,,,,,,,,
,p-Chlorophenol,DTXSID1021871,106-48-9,Negative,,,,,,,,,
,p-Toluidine,DTXSID6021872,106-49-0,Negative,,,,,,,,,
,p-Quinone,DTXSID6020145,106-51-4,Negative; Negative,,,,,,,,,
,Isobutyl acrylate,DTXSID1021873,106-63-8,Negative,,,,,,,,,
,Dimethylsuccinate,DTXSID5025152,106-65-0,Negative,Negative,,,,,,,,
,Triethyllead chloride,DTXSID3026227,1067-14-7,Negative,,,,,,,,,
TR-183,Dibutyltin diacetate,DTXSID3020419,1067-33-0,Negative,,,,,,,,,
TR-362,4-Vinyl-1-cyclohexene diepoxide,DTXSID0020604,106-87-6,Positive,,,,,,,,,
TR-329,"1,2-Epoxybutane",DTXSID6020569,106-88-7,Positive,Negative,,,,,,,,
,Epichlorhydrin,DTXSID1020566,106-89-8,Positive,,,Negative,,,,,Positive,
,Glycidyl acrylate,DTXSID5025360,106-90-1,Positive,,,,,,,,,
,Glycidyl methacrylate,DTXSID0025361,106-91-2,Positive,,,,,,,,,
TR-376,Allyl glycidyl ether,DTXSID9039232,106-92-3,Positive,,,Positive; Negative,Negative,,,,,
"TR-086, TR-210","1,2-Dibromoethane",DTXSID3020415,106-93-4,Positive,,,Positive,,,,,,
TR-564,1-Bromopropane,DTXSID6021874,106-94-5,Negative; Negative; Negative,,,Negative,Negative,,,,,
,Allyl bromide,DTXSID8024442,106-95-6,Positive,,,Negative; Negative; Negative; Negative,Negative; Negative; Negative; Negative,,,,,
,n-Butane,DTXSID7024665,106-97-8,Negative,,,,,,,,,
"TR-288, TR-434","1,3-Butadiene",DTXSID3020203,106-99-0,Positive,,,Positive (Nonstandard Protocol),,,,,,
,Acrolein,DTXSID5020023,107-02-8,Weakly Positive; Negative; Negative,,,Negative,Negative,,,,,
,1-Chloro-2-bromoethane,DTXSID4024775,107-04-0,Positive,,,,,,,,,
TR-073,Allyl chloride,DTXSID4039231,107-05-1,Positive,,,,,,,,,
TR-055,"1,2-Dichloroethane",DTXSID6020438,107-06-2,Positive,,,Negative,Negative,,,,,
TR-275,2-Chloroethanol (ethylene chlorohydrin),DTXSID1021877,107-07-3,Positive; Positive; Positive,,,Negative,,,,,,
,Allylamine,DTXSID8024440,107-11-9,Negative,,,,,,,,,
,Propionitrile,DTXSID1021879,107-12-0,Negative; Negative,,,,,,,,,
TR-506,Acrylonitrile,DTXSID5020029,107-13-1,Positive,,,Negative,Negative; Negative; Negative,,,,,
,Chloroacetonitrile,DTXSID7021524,107-14-2,Negative,,,,,,,,,
,Ethylenediamine,DTXSID5021881,107-15-3,Weakly Positive; Weakly Positive; Positive; Positive; Positive; Positive; Equivocal,,,,,,,,,
,Hydroxyacetonitrile,DTXSID3025417,107-16-4,Negative,,,,,,,,,
,Glyphosate,DTXSID1024122,1071-83-6,Negative,,,Negative,Negative,,,,,
,Allyl alcohol,DTXSID8020044,107-18-6,Negative; Negative,Negative,,Negative,Negative,,,,,
TR-552,Propargyl alcohol,DTXSID5021883,107-19-7,Positive,,,Negative,Equivocal,,,,,
,Chloroacetaldehyde,DTXSID4020292,107-20-0,Positive,,,,,,,,,
TR-413,Ethylene glycol,DTXSID8020597,107-21-1,Negative,,,,,,,,,
,Glyoxal,DTXSID5025364,107-22-2,Positive,,,,,,,,,
,1-Aziridineethanol,DTXSID0024551,1072-52-2,Positive,,,,,,,,,
,"2,5-Dimercapto-1,3,4-thiadiazole",DTXSID6040115,1072-71-5,Negative,,,,,,,,,
,Acetaldehyde oxime,DTXSID2020004,107-29-9,Positive,,,,,,,,,
,Methyl formate,DTXSID5025609,107-31-3,Negative; Negative,,,,,,,,,
,L-Taurine,DTXSID3021304,107-35-7,Negative,,,,,,,,,
,Phenylglyoxal,DTXSID8025888,1074-12-0,Positive,,,,,,,,,
,tert-Butylacrylamide,DTXSID1040114,107-58-4,,,,Equivocal,,,,,Positive,
,N-Methyltaurine,DTXSID4025664,107-68-6,Negative,,,,,,,,,
,4-Methyl-4-methoxy-2-pentanone,DTXSID2025557,107-70-0,Negative,,,,,,,,,
,DL-alpha-Lipoic acid,DTXSID7025508,1077-28-7,Negative,,,,,,,,,
,2-Pentanone,DTXSID0021888,107-87-9,Negative,,,,,,,,,
,Butyric acid,DTXSID8021515,107-92-6,Negative,,,,,,,,,
,beta-Alanine,DTXSID0030823,107-95-9,Negative,,,,,,,,,
,Dimethylethanolamine (DMAE),DTXSID40952332,108-01-0,Negative; Equivocal,,,,,,,,,
,1-Nitropropane,DTXSID1020980,108-03-2,Negative; Negative,,,,,,,,,
,Vinyl acetate,DTXSID3021431,108-05-4,Negative,Positive,,,,,,,,
,"1,3-Dimethylbutylamine",DTXSID4025113,108-09-8,Negative,,,,,,,,,
TR-538,Methyl isobutyl ketone,DTXSID5021889,108-10-1,Negative,,,,,,,,,
,Malonamide,DTXSID1040116,108-13-4,Negative,,,Negative,,,,,Positive,
,Dimepranol,DTXSID5031210,108-16-7,Negative,,,,,,,,,
TR-308,"Chlorinated paraffins: C12, 60% chlorine",DTXSID2024824,108171-26-2,Negative,,,,,,,,,
TR-305,"Chlorinated paraffins: C23, 43% chlorine",DTXSID7024823,108171-27-3,Negative,,,,,,,,,
,Diisopropylamine,DTXSID9025085,108-18-9,Negative,,,,,,,,,
,Imidodicarbonic diamide,DTXSID2026783,108-19-0,Positive,,,,,,,,,
,Isopropyl acetate,DTXSID2025478,108-21-4,Negative,,,,,,,,,
,Isopropenyl acetate,DTXSID3031492,108-22-5,Negative,,,,,,,,,
,Acetic anhydride,DTXSID0024395,108-24-7,Negative,,,,,,,,,
TR-373,Succinic anhydride,DTXSID7021287,108-30-5,Negative; Negative,,,,,,,,,
,Maleic anhydride,DTXSID7024166,108-31-6,Negative,,,,,,,,,
,m-Xylene,DTXSID6026298,108-38-3,Negative,,,,,,,,,
,m-Cresol,DTXSID6024200,108-39-4,Negative,,,,,,,,,
,m-Chloroaniline,DTXSID0024761,108-42-9,Negative; Negative,Negative,,Negative; Negative,Negative,,,,,
,m-Chlorophenol,DTXSID4024800,108-43-0,Negative,,,,,,,,,
,m-Toluidine,DTXSID1026792,108-44-1,Negative,,,,,,,,,
,m-Phenylenediamine,DTXSID4021137,108-45-2,Positive,,,,,,,,,
TR-403,Resorcinol,DTXSID2021238,108-46-3,Negative,,,Positive,,,,,,
"TR-191, TR-239",bis(2-Chloro-1-methylethyl) ether,DTXSID4020167,108-60-1,Weakly Positive; Positive; Positive; Positive; Positive; Positive,,,,,,,,,
,"3,5-Dimethyl phenol",DTXSID1025148,108-68-9,Negative,,,,,,,,,
,"3,5-Xylidine",DTXSID8026309,108-69-0,Weakly Positive,,,,,,,,,
,"1,3,5-Trichlorobenzene",DTXSID8026195,108-70-3,Negative,,,,,,,,,
TR-245,Melamine,DTXSID6020802,108-78-1,Negative,,,Negative,,,,,,
,Isocyanuric acid,DTXSID7024873,108-80-5,Negative,,,,,,,,,
,Diisobutylketone,DTXSID4025080,108-83-8,Negative,,,,,,,,,
,Bromobenzene,DTXSID5024637,108-86-1,Negative,,,,,,,,,
TR-371,Toluene,DTXSID7021360,108-88-3,Negative,,,Negative,,,,,,
,4-Methylpyridine,DTXSID4021892,108-89-4,Negative,,,,,,,,,
TR-261,Chlorobenzene,DTXSID4020298,108-90-7,Negative; Negative,,,Negative,,,,,,
,Cyclohexylamine,DTXSID1023996,108-91-8,Negative,,,,,,,,,
,Cyclohexanol,DTXSID4021894,108-93-0,Negative,,,,,,,,,
,Cyclohexanone,DTXSID6020359,108-94-1,Negative; Negative,,,,,,,,,
TR-203,Phenol,DTXSID5021124,108-95-2,Negative; Negative,,,Positive,,,,,,
,Thiophenol,DTXSID7026811,108-98-5,Negative,,,,,,,,,
TR-580,beta-Picoline,DTXSID9021897,108-99-6,Negative; Negative; Negative,,,Negative,Negative,,,,,
,o-Chloropyridine,DTXSID8024810,109-09-1,Positive,,,Negative,Negative,,,,,
,3-(Dimethylamino)propylamine,DTXSID5025102,109-55-7,Negative,,,,,,,,,
,Allyl thiourea,DTXSID0064416,109-57-9,Negative,,,,,,,,,
,n-Pentane,DTXSID2025846,109-66-0,Negative,,,,,,,,,
,1-n-Pentene,DTXSID7025849,109-67-1,Negative; Negative,,,,,,,,,
TR-312,n-Butyl chloride,DTXSID8020206,109-69-3,Negative; Negative,,,,,,,,,
,n-Butylamine,DTXSID1021904,109-73-9,Negative,,,,,,,,,
,"1,3-Diaminopropane",DTXSID1021906,109-76-2,Negative,,,,,,,,,
,Malonic dinitrile,DTXSID6021907,109-77-3,Negative,,,,,,,,,
,3-Hydroxypropanenitrile,DTXSID1025433,109-78-4,Negative; Negative,,,,,,,,,
,N-Methylethanolamine,DTXSID5025603,109-83-1,Negative,,,,,,,,,
,Ethylene Glycol Monomethyl Ether (EGMME),DTXSID5024182,109-86-4,Negative,,,,,,,,,
,Methylal,DTXSID1025564,109-87-5,Negative,,,,,,,,,
TR-566,Diethylamine,DTXSID6021909,109-89-7,Negative; Negative,,,Negative,Negative,,,,,
,Ethyl formate,DTXSID6040117,109-94-4,Negative,,,,,,,,,
TR-475,Tetrahydrofuran,DTXSID1021328,109-99-9,Negative; Negative,,,Equivocal,Negative,,,,,
TR-402,Furan,DTXSID6020646,110-00-9,Weakly Positive; Negative,,,,Equivocal,,,,,Positive
,Thiophene,DTXSID8026145,110-02-1,Negative; Negative,,,,,,,,,
,Di-tert-butyl peroxide,DTXSID2024955,110-05-4,Negative,,,,,,,,,
,Maleic acid,DTXSID8021517,110-16-7,Negative,,,,,,,,,
,Fumaric acid,DTXSID3021518,110-17-8,Negative,,,,,,,,,
,"N,N,N',N'-Tetramethylethylenediamine",DTXSID5026122,110-18-9,Negative,,,,,,,,,
,Biurea,DTXSID6024628,110-21-4,Negative,,,,,,,,,
,Digitonin,DTXSID1025065,11024-24-1,Negative; Equivocal,,,,,,,,,
,"N,N'-methylenebisacrylamide",DTXSID8025595,110-26-9,Positive,,,Positive,,,,,,
,Sorbic acid,DTXSID3021277,110-44-1,Negative,,,,,,,,,
,Isoamyl nitrite,DTXSID9025455,110-46-3,Positive,,,,,,,,,
,2-Methoxyethyl acetate,DTXSID2025553,110-49-6,Weakly Positive; Equivocal,,,,,,,,,
,n-Hexane,DTXSID0021917,110-54-3,Negative,,,Negative,Negative,,,,,
,"trans-1,4-Dichloro-2-butene",DTXSID6020434,110-57-6,Positive,,,,,,,,,
,N-Amylamine,DTXSID0021919,110-58-7,Negative,,,,,,,,,
,Valeronitrile,DTXSID3026275,110-59-8,Negative; Equivocal,,,,,,,,,
,Succinonitrile,DTXSID9026059,110-61-2,Negative; Negative,,,,,,,,,
,n-Pentanal,DTXSID7021653,110-62-3,Negative,,,,,,,,,
,"1,4-Butanediol",DTXSID2024666,110-63-4,Negative,,,,,,,,,
,"2-Butene-1,4-diol",DTXSID9026849,110-64-5,Positive,,,,,,,,,
,"2-Butyne-1,4-diol",DTXSID4021921,110-65-6,Negative,,,,,,,,,
,3-Methoxypropionitrile,DTXSID3026851,110-67-8,Equivocal,,,,,,,,,
,Butanal oxime,DTXSID2024664,110-69-0,Weakly Positive,,,Positive,Positive,,,,,
,Ethylene glycol dimethyl ether,DTXSID0025286,110-71-4,Positive,,,,,,,,,
,Ethylene glycol monoethyl ether (EGMEE),DTXSID7024087,110-80-5,Negative,,,,,,,,,
,Cyclohexane,DTXSID4021923,110-82-7,Negative,,,,,,,,,
,Piperazine,DTXSID1021164,110-85-0,Negative,,,,,,,,,
TR-470,Pyridine,DTXSID9021924,110-86-1,Negative,,,Negative; Negative,Negative,,,,,
,s-Trioxane,DTXSID4021925,110-88-3,Negative; Negative,,,,,,,,,
,Morpholine,DTXSID2025688,110-91-8,Negative,,,,,,,,,
,Glutaric acid,DTXSID2021654,110-94-1,Negative,,,,,,,,,
,Diisobutylamine,DTXSID5025079,110-96-3,Negative,,,,,,,,,
,Diisopropanolamine,DTXSID8020179,110-97-4,Negative,,,,,,,,,
TR-038,Aroclor 1254,DTXSID5020100,11097-69-1,Negative,,,Not a Valid Test; Negative,,,,,,
,C.I. Solvent black 5,DTXSID0026040,11099-03-9,Positive,,,,,,,,,
,trans-Squalene,DTXSID0026044,111-02-4,Negative,,,,,,,,,
,Zinc potassium chromate,DTXSID2026313,11103-86-9,Positive,,,Positive (Nonstandard Protocol),,,,,,
,n-Heptanoic acid,DTXSID2021600,111-14-8,Negative,,,,,,,,,
,Ethylene glycol monoethyl ether acetate,DTXSID9021928,111-15-9,Positive,,,,,,,,,
,"Triethylene glycol, diacetate",DTXSID3026223,111-21-7,Positive,,,,,,,,,
,Hexylamine,DTXSID3021930,111-26-2,Negative,,,,,,,,,
TR-490,Glutaraldehyde,DTXSID6025355,111-30-8,Weakly Positive; Positive; Equivocal,,,Negative; Negative; Equivocal,Negative,,,,,
,Diethylenetriamine,DTXSID2025050,111-40-0,Negative,,,,,,,,,
,N-(Hydroxyethyl)ethylenediamine,DTXSID7025423,111-41-1,Weakly Positive,,,,,,,,,
TR-478,Diethanolamine,DTXSID3021932,111-42-2,Negative,,,Negative,Negative,,,,,
,bis(2-Chloroethyl)ether,DTXSID9020168,111-44-4,Weakly Positive; Equivocal,,,,,,,,,
,Diethylene glycol,DTXSID8020462,111-46-6,Negative,,,,,,,,,
,Hexamethyleneimine,DTXSID1026879,111-49-9,Negative,,,,,,,,,
,Triisobutylamine,DTXSID7026233,1116-40-1,Negative,,,,,,,,,
,Caprylyl chloride,DTXSID9024724,111-64-8,Positive,,,,,,,,,
,N-Nitrosodiethanolamine,DTXSID7021027,1116-54-7,Positive,,,,,,,,,
,1-Octene,DTXSID6025804,111-66-0,Negative,,,,,,,,,
,Adiponitrile,DTXSID3021936,111-69-3,Negative,,,,,,,,,
,n-Heptanal,DTXSID0021597,111-71-7,Negative,,,,,,,,,
TR-484,2-Butoxyethanol (ethylene glycol monobutyl ether),DTXSID1024097,111-76-2,Negative,Negative,,Negative,,,,,,
,Diethylene glycol monomethyl ether,DTXSID3025049,111-77-3,Negative,,,,,,,,,
,Nonane,DTXSID9025796,111-84-2,Negative,,,,,,,,,
,Monobutyltin trichloride,DTXSID0029210,1118-46-3,Negative,,,,,,,,,
,Diethylene glycol monoethyl ether,DTXSID2021941,111-90-0,Negative,,,,,,,,,
TR-536,bis(2-Chloroethoxy)methane,DTXSID4023917,111-91-1,Positive; Equivocal,Negative,,Negative,Negative,,,,,
,Di-n-butylamine,DTXSID7024952,111-92-2,Negative,,,,,,,,,
,Dimethyl glutarate,DTXSID3025122,1119-40-0,Negative,Equivocal,,,,,,,,
,Diethylene glycol dimethyl ether,DTXSID1024621,111-96-6,Negative,,,,,,,,,
,Pelargonic acid,DTXSID3021641,112-05-0,Negative,,,,,,,,,
,Triethylenetetramine,DTXSID9023702,112-24-3,Positive,,,,,,,,,
,4-Acetyl pyridine,DTXSID0022147,1122-54-9,Negative,,,,,,,,,
,2-Acetylpyridine,DTXSID7024409,1122-62-9,Negative,,,,,,,,,
,Triethylene glycol,DTXSID4021393,112-27-6,Positive,,,,,,,,,
