sf_casrn,sf_exp_name,sf_numsites,roc_15th_listing,roc_flag,iarc_exp_name,iarc_flag,atsdr_exp_name,atsdr_flag,cebsgt_exp_name,cebsgt_pubnum,cebsgt_dtxsid,cebsgt_ames_conclusion,cebsgt_male_rat_micronucleus,cebsgt_female_rat_micronucleus,cebsgt_male_mouse_micronucleus,cebsgt_female_mouse_micronucleus,cebsgt_mn_conclusion,cebsgt_male_rat_comet,cebsgt_female_rat_comet,cebsgt_male_mouse_comet,cebsgt_female_mouse_comet,cebsgt_flag,genetox_flag,cebs_exp_name,cebs_dtxsid,cebs_male_rats,cebs_female_rats,cebs_male_mice,cebs_female_mice,cebs_flag,organ_flag
1031-07-8,ENDOSULFAN SULFATE,75,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
10361-37-2,BARIUM CHLORIDE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
104-51-8,N-BUTYL BENZENE,13,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
104-76-7,2-ETHYL HEXANOL,2,,False,,False,,False,2-Ethylhexanol,,DTXSID5020605,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
104-90-5,2-METHYL-5-ETHYL PYRIDINE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
105-60-2,CAPROLACTAM,4,,False,Caprolactam,True,,False,Caprolactam,TR-214,DTXSID4020240,Negative,,,Negative,,,,,,,No Evidence,True,Caprolactam,DTXSID4020240,,,,,No Evidence,True
105-67-9,"2,4-DIMETHYLPHENOL",154,,False,,False,,False,"2,4-Dimethylphenol",,DTXSID2021864,Negative;Weakly Positive,,,,,,,,,,Weak Evidence,True,,,,,,,,False
10595-95-6,N-NITROSOMETHYLETHYLAMINE,1,,False,N-Nitrosomethylethylamine,True,,False,,,,,,,,,,,,,,,False,,,,,,,,False
106-42-3,"para-XYLENE;P-XYLENE;1,4-DIMETHYLBENZENE",29,,False,,False,,False,p-Xylene,,DTXSID2021868,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
106-44-5,p-CRESOL;4-CRESOL;4-METHYLPHENOL,219,,False,,False,,False,p-Cresol,,DTXSID7021869,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
106-46-7,"p-DICHLOROBENZENE;1,4-DICHLOROBENZENE",253,RAHC,True,para-Dichlorobenzene,True,"1,4-DICHLOROBENZENE",True,"1,4-Dichlorobenzene (p-dichlorobenzene)",TR-319,DTXSID1020431,Negative,,,Negative,Negative,,,,,,No Evidence,True,"1,4-Dichlorobenzene (p-dichlorobenzene)",DTXSID1020431,KIDNEY_TUBULAR_CELL,,"ADRENAL_GLAND_MEDULLA,LIVER",LIVER,Evidence,True
106-47-8,"4-CHLOROANILINE;CHLOROANILINE, P-",14,,False,para-Chloroaniline,True,,False,p-Chloroaniline,TR-189,DTXSID9020295,Positive;Negative;Weakly Positive,,,,,,,,,,Evidence,True,p-Chloroaniline,DTXSID9020295,,,,,No Evidence,True
106-93-4,"EDB;ETHYLENE DIBROMIDE;1,2-DIBROMOETHANE",38,RAHC,True,Ethylene dibromide,True,,False,"1,2-Dibromoethane","TR-086, TR-210",DTXSID3020415,Positive,,,Positive,,,,,,,Evidence,True,"1,2-Dibromoethane",DTXSID3020415,"FORESTOMACH,MESOTHELIUM_ABDOMINAL_CAVITYTUNICA_VAGINALIS,NASAL_CAVITY,VASCULAR_SYSTEM_UNSPECIFIED","FORESTOMACH,LIVER,LUNG,MAMMARY_GLAND,NASAL_CAVITY,VASCULAR_SYSTEM_UNSPECIFIED","FORESTOMACH,LUNG","FORESTOMACH,LUNG,MAMMARY_GLAND,NASAL_CAVITY,SUBCUTANEOUS_TISSUE,VASCULAR_SYSTEM_UNSPECIFIED",Evidence,True
106-97-8,BUTANE,1,,False,,False,,False,n-Butane,,DTXSID7024665,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
106-99-0,"1,3-BUTADIENE",1,Known,True,"1,3-Butadiene",True,,False,"1,3-Butadiene","TR-288, TR-434",DTXSID3020203,Positive,,,Positive (Nonstandard Protocol),,,,,,,Evidence,True,"1,3-Butadiene",DTXSID3020203,,,"BRAIN,FORESTOMACH,HARDERIAN_GLAND,HEMATOPOIETIC_SYSTEM,INTESTINES_SMALL,KIDNEY_TUBULAR_CELL,LIVER,LUNG,PREPUTIAL_GLAND,VASCULAR_SYSTEM_HEART,ZYMBAL_GLAND","FORESTOMACH,HARDERIAN_GLAND,HEMATOPOIETIC_SYSTEM,KIDNEY_TUBULAR_CELL,LIVER,LUNG,MAMMARY_GLAND,OVARY,SUBCUTANEOUS_TISSUE,VASCULAR_SYSTEM_HEART,ZYMBAL_GLAND",Evidence,True
107-02-8,ACROLEIN,7,,False,Acrolein,True,ACROLEIN,True,Acrolein,,DTXSID5020023,Negative;Weakly Positive,,,Negative,Negative,,,,,,Weak Evidence,True,,,,,,,,False
107-05-1,ALLYL CHLORIDE,2,,False,Allyl chloride,True,,False,Allyl chloride,TR-073,DTXSID4039231,Positive,,,,,,,,,,Evidence,True,Allyl chloride,DTXSID4039231,,,,,No Evidence,True
107-06-2,"1,2-DICHLOROETHANE;1,2-DCA;1,2-DICHLOROETHANE (DCA)",483,RAHC,True,"1,2-Dichloroethane",True,"1,2-DICHLOROETHANE",True,"1,2-Dichloroethane",TR-055,DTXSID6020438,Positive,,,Negative,Negative,,,,,,Evidence,True,"1,2-Dichloroethane",DTXSID6020438,"FORESTOMACH,SUBCUTANEOUS_TISSUE,VASCULAR_SYSTEM_UNSPECIFIED",MAMMARY_GLAND,LUNG,"LUNG,MAMMARY_GLAND,UTERUSCERVIX",Evidence,True
107-12-0,PROPIONITRILE,1,,False,,False,,False,Propionitrile,,DTXSID1021879,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
107-13-1,ACRYLONITRILE,10,RAHC,True,Acrylonitrile,True,ACRYLONITRILE,True,Acrylonitrile,TR-506,DTXSID5020029,Positive,,,Negative,Negative,,,,,,Evidence,True,Acrylonitrile,DTXSID5020029,,,"FORESTOMACH,HARDERIAN_GLAND","FORESTOMACH,HARDERIAN_GLAND,LUNG,OVARY",Evidence,True
107-21-1,ETHYLENE GLYCOL,5,,False,,False,ETHYLENE GLYCOL,True,Ethylene glycol,TR-413,DTXSID8020597,Negative,,,,,,,,,,No Evidence,True,Ethylene glycol,DTXSID8020597,,,,,No Evidence,True
107-44-8,SARIN,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-05-4,VINYL ACETATE,14,,False,Vinyl acetate,True,VINYL ACETATE,True,Vinyl acetate,,DTXSID3021431,Negative,Positive,,,,,,,,,Evidence,True,,,,,,,,False
108-10-1,HEXONE;MIBK;METHYL ISOBUTYL KETONE;4-METHYL-2-PENTANONE,216,,False,Methyl isobutyl ketone,True,,False,Methyl isobutyl ketone,TR-538,DTXSID5021889,Negative,,,,,,,,,,No Evidence,True,Methyl isobutyl ketone,DTXSID5021889,"HEMATOPOIETIC_SYSTEM,KIDNEY_TUBULAR_CELL",,LIVER,LIVER,Evidence,True
108-20-3,ISOPROPYL ETHER,4,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-24-7,ACETIC ANHYDRIDE,1,,False,,False,,False,Acetic anhydride,,DTXSID0024395,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-38-3,"1,3-DIMEHTYLBENZENE;M-XYLENE;meta-XYLENE",44,,False,,False,,False,m-Xylene,,DTXSID6026298,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-39-4,3-METHYLPHENOL;M-CRESOL,16,,False,,False,,False,m-Cresol,,DTXSID6024200,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-42-9,CHLOROANILINE;2-CHLOROANILINE;O-CHLOROANILINE,5,,False,,False,,False,m-Chloroaniline,,DTXSID0024761,Negative,Negative,,Negative,Negative,,,,,,No Evidence,True,,,,,,,,False
108-46-3,RESORCINOL,7,,False,Resorcinol,True,,False,Resorcinol,TR-403,DTXSID2021238,Negative,,,Positive,,,,,,,Evidence,True,Resorcinol,DTXSID2021238,,,,,No Evidence,True
108-47-4,"2,4-LUTIDINE",1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-48-5,"2,6-LUTIDINE",1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-60-1,BIS(2-CHLORO-1-METHYLETHYL) ETHER,2,,False,Bis(2-chloro-1-methylethyl)ether,True,,False,bis(2-Chloro-1-methylethyl) ether,"TR-191, TR-239",DTXSID4020167,Positive;Weakly Positive,,,,,,,,,,Evidence,True,bis(2-Chloro-1-methylethyl) ether,DTXSID4020167,,,"LIVER,LUNG","FORESTOMACH,LUNG",Evidence,True
108-67-8,"1,3,5-TRIMETHYLBENZENE;MESITYLENE",61,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-70-3,"1,3,5-TRICHLOROBENZENE",5,,False,,False,,False,"1,3,5-Trichlorobenzene",,DTXSID8026195,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-87-2,METHYLCYCLOHEXANE,11,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
108-88-3,TOLUENE,740,,False,Toluene,True,TOLUENE,True,Toluene,TR-371,DTXSID7021360,Negative,,,Negative,,,,,,,No Evidence,True,Toluene,DTXSID7021360,,,,,No Evidence,True
108-89-4,4-PICOLINE,1,,False,,False,,False,4-Methylpyridine,,DTXSID4021892,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-90-7,MONOCHLOROBENZENE;CHLOROBENZENE,348,,False,,False,CHLOROBENZENE,True,Chlorobenzene,TR-261,DTXSID4020298,Negative,,,Negative,,,,,,,No Evidence,True,Chlorobenzene,DTXSID4020298,,,,,No Evidence,True
108-93-0,CYCLOHEXANOL,1,,False,,False,,False,Cyclohexanol,,DTXSID4021894,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-94-1,CYCLOHEXANONE,2,,False,Cyclohexanone,True,,False,Cyclohexanone,,DTXSID6020359,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
108-95-2,PHENOL,330,,False,Phenol,True,PHENOL,True,Phenol,TR-203,DTXSID5021124,Negative,,,Positive,,,,,,,Evidence,True,Phenol,DTXSID5021124,,,,,No Evidence,True
108-99-6,3-PICOLINE,1,,False,β-Picoline,True,,False,beta-Picoline,TR-580,DTXSID9021897,Negative,,,Negative,Negative,,,,,,No Evidence,True,beta-Picoline,DTXSID9021897,,LUNG,,"LIVER,LUNG",Evidence,True
109-06-8,2-PICOLINE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
109-60-4,ACETIC ACID,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
109-66-0,PENTANE,3,,False,,False,,False,n-Pentane,,DTXSID2025846,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
109-77-3,MALONONITRILE,1,,False,,False,,False,Malonic dinitrile,,DTXSID6021907,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
109-87-5,DIMETHOXYMETHANE,1,,False,,False,,False,Methylal,,DTXSID1025564,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
109-99-9,TETRAHYDROFURAN,43,,False,Tetrahydrofuran,True,,False,Tetrahydrofuran,TR-475,DTXSID1021328,Negative,,,Equivocal,Negative,,,,,,No Evidence,True,Tetrahydrofuran,DTXSID1021328,KIDNEY_TUBULAR_CELL,,,LIVER,Evidence,True
110-00-9,FURAN,8,RAHC,True,Furan,True,,False,Furan,TR-402,DTXSID6020646,Negative;Weakly Positive,,,,Equivocal,,,,,Positive,Evidence,True,Furan,DTXSID6020646,"HEMATOPOIETIC_SYSTEM,LIVER","HEMATOPOIETIC_SYSTEM,LIVER","ADRENAL_GLAND_MEDULLA,LIVER","ADRENAL_GLAND_MEDULLA,LIVER",Evidence,True
110-16-7,MALEIC ACID,1,,False,,False,,False,Maleic acid,,DTXSID8021517,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
110-17-8,FUMARIC ACID,1,,False,,False,,False,Fumaric acid,,DTXSID3021518,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
110-54-3,HEXANE,8,,False,,False,"HEXANE, N-",True,n-Hexane,,DTXSID0021917,Negative,,,Negative,Negative,,,,,,No Evidence,True,,,,,,,,False
110-57-6,"TRANS-1,4-DICHLOROBUTENE",1,,False,"trans-1,4-Dichlorobutene",True,,False,"trans-1,4-Dichloro-2-butene",,DTXSID6020434,Positive,,,,,,,,,,Evidence,True,,,,,,,,False
110-75-8,2-CHLOROETHYL VINYL ETHER,4,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
110-80-5,2-ETHOXYETHANOL,2,,False,,False,,False,Ethylene glycol monoethyl ether (EGMEE),,DTXSID7024087,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
110-82-7,CYCLOHEXANE,15,,False,,False,,False,Cyclohexane,,DTXSID4021923,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
110-86-1,PYRIDINE,8,,False,Pyridine,True,,False,Pyridine,TR-470,DTXSID9021924,Negative,,,Negative,Negative,,,,,,No Evidence,True,Pyridine,DTXSID9021924,KIDNEY_TUBULAR_CELL,,LIVER,LIVER,Evidence,True
110-89-4,PIPERIDINE,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11096-82-5,AROCLOR-1260;PCB-1260 (AROCLOR-1260);PCB-1260,215,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11097-69-1,PCB-1254 (AROCLOR-1254);AROCLOR-1254;PCB-1254,228,,False,,False,POLYCHLORINATED BIPHENYLS (PCBs) (Aroclor 1254),True,Aroclor 1254,TR-038,DTXSID5020100,Negative,,,Not a Valid Test;Negative,,,,,,,Inadequate,True,Aroclor 1254,DTXSID5020100,,,,,No Evidence,True
111-44-4,BIS(2-CHLOROETHYL) ETHER,69,,False,Bis(2-chloroethyl)ether,True,BIS(2 CHLOROETHYL)ETHER (BCEE),True,bis(2-Chloroethyl)ether,,DTXSID9020168,Equivocal;Weakly Positive,,,,,,,,,,Weak Evidence,True,,,,,,,,False
111-46-6,DIETHYLENE GLYCOL,2,,False,,False,,False,Diethylene glycol,,DTXSID8020462,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
111-54-6,ETHYLENEBISDITHIOCARBAMIC ACID,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
111-65-9,OCTANE,3,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
111-76-2,2-BUTOXYETHANOL,4,,False,2-Butoxyethanol,True,2-BUTOXYETHANOL,True,2-Butoxyethanol (ethylene glycol monobutyl ether),TR-484,DTXSID1024097,Negative,Negative,,Negative,,,,,,,No Evidence,True,2-Butoxyethanol (ethylene glycol monobutyl ether),DTXSID1024097,,,"FORESTOMACH,LIVER,VASCULAR_SYSTEM_LIVER",FORESTOMACH,Evidence,True
111-84-2,NONANE,3,,False,,False,,False,Nonane,,DTXSID9025796,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
111-91-1,BIS(2-CHLOROETHOXY) METHANE,11,,False,,False,,False,bis(2-Chloroethoxy)methane,TR-536,DTXSID4023917,Equivocal;Positive,Negative,,Negative,Negative,,,,,,Evidence,True,,,,,,,,False
11104-28-2,AROCLOR-1221,11,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
1114-71-2,PEBULATE,3,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11141-16-5,PCB-1232 (AROCLOR-1232);AROCLOR-1232,14,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
1116-54-7,N-NITROSODIETHANOLAMINE,1,RAHC,True,N-Nitrosodiethanolamine,True,,False,N-Nitrosodiethanolamine,,DTXSID7021027,Positive,,,,,,,,,,Evidence,True,,,,,,,,False
112-34-5,DIETHYLENE GLYCOL MONOBUTYL ETHER,1,,False,,False,,False,Diethylene glycol monobutyl ether,,DTXSID8021519,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
11270036,BENZO[A]PYRENE EQUIVALENTS (BaPEq),23,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270038,C11-C22 Aromatics,4,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270039,C9-C10 Aromatics,2,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270040,DDT AND METABOLITES,5,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270041,DDTr,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270043,TOTAL EXTRACTABLE PETROLEUM HYDROCARBONS (TEPH),2,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270044,TOTAL RECOVERABLE PETROLEUM HYDROCARBONS (TRPH),2,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
11270046,UNEXPLODED ORDNANCE (UXO),7,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
114-26-1,PROPYLENE GLYCOL,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
115-07-1,PROPENE;PROPYLENE,3,,False,Propylene,True,,False,Propylene,TR-272,DTXSID5021205,Positive,,,,,,,,,,Evidence,True,Propylene,DTXSID5021205,,,,,No Evidence,True
115-28-6,CHLORENDIC ACID,1,RAHC,True,Chlorendic acid,True,,False,Chlorendic acid,TR-304,DTXSID2020268,Negative,,,,,,,,,,No Evidence,True,Chlorendic acid,DTXSID2020268,"LIVER,LUNG,PANCREAS_ACINAR_CELL,PREPUTIAL_GLAND",LIVER,LIVER,,Evidence,True
115-29-7,ENDOSULFAN,36,,False,,False,ENDOSULFAN,True,Endosulfan,TR-062,DTXSID1020560,Negative,,,,,,,,,,No Evidence,True,Endosulfan,DTXSID1020560,,,,,No Evidence,True
115-32-2,DICOFOL,1,,False,Dicofol,True,,False,Dicofol,TR-090,DTXSID4020450,Negative,,,,,,,,,,No Evidence,True,Dicofol,DTXSID4020450,,,LIVER,,Evidence,True
115-86-6,TRIPHENYL PHOSPHATE,1,,False,,False,,False,Triphenyl Phosphate,,DTXSID1021952,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
115-90-2,FENSULFOTHION,4,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
116-06-3,ALDICARB,1,,False,Aldicarb,True,,False,Aldicarb,TR-136,DTXSID0039223,Negative,,,,,,,,,,No Evidence,True,Aldicarb,DTXSID0039223,,,,,No Evidence,True
117-81-7,B2EHP;BIS(2-ETHYLHEXYL)PHTHALATE;BEHP;DEHP;DI(2-ETHYLHEXYL)PHTHALATE,575,RAHC,True,Bis(2-ethylhexyl) phthalate (see Di(2-ethylhexyl) phthalate);Di(2-ethylhexyl)phthalate,True,DI(2-ETHYLHEXYL)PHTHALATE (DEHP),True,Di(2-ethylhexyl) Phthalate,TR-217,DTXSID5020607,Negative,,,Equivocal;Negative,Equivocal;Positive;Negative,,Negative,,,,Evidence,True,Di(2-ethylhexyl) Phthalate,DTXSID5020607,LIVER,LIVER,LIVER,LIVER,Evidence,True
117-84-0,DI-N-OCTYL PHTHALATE,178,,False,,False,DI-N-OCTYL PHTHALATE,True,Dioctyl phthalate,,DTXSID5020607,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
118-74-1,HEXACHLOROBENZENE,65,RAHC,True,Hexachlorobenzene,True,HEXACHLOROBENZENE,True,Hexachlorobenzene,,DTXSID2020682,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
118-96-7,"TRINITROTOLUENE;TNT;2,4-6-TNT;2,4,6-TRINITROTOLUENE",34,,False,"2,4,6-Trinitrotoluene",True,"2,4,6-TRINITROTOLUENE",True,,,,,,,,,,,,,,,False,,,,,,,,False
119-90-4,"3,3-DIMETHOXYBENZIDINE",2,RAHC,True,"3,3'-Dimethoxybenzidine (ortho-Dianisidine)",True,,False,"3,3'-Dimethoxybenzidine",,DTXSID3025091,Positive,,,,,,,,,,Evidence,True,,,,,,,,False
119-93-7,"3,3-DIMETHYLBENZIDINE (O-TOLIDINE)",1,RAHC,True,"3,3'-Dimethylbenzidine (ortho-Tolidine)",True,,False,"3,3'-Dimethylbenzidine",,DTXSID5024059,Positive,,,,,,,,,,Evidence,True,,,,,,,,False
1194-65-6,DICHLOBENIL,1,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
120-12-7,ANTHRACENE,259,,False,Anthracene,True,ANTHRACENE,True,Anthracene,,DTXSID0023878,Weakly Positive,,,,,,,,,,Weak Evidence,True,,,,,,,,False
120-36-5,DICHLORPROP,3,,False,,False,,False,,,,,,,,,,,,,,,False,,,,,,,,False
120-82-1,"1,2,4-TRICHLOROBENZENE",144,,False,,False,"1,2,4 - TRICHLOROBENZENE",True,"1,2,4-Trichlorobenzene",,DTXSID0021965,Negative,,,,,,,,,,No Evidence,True,,,,,,,,False
120-83-2,"2,4-DICHLOROPHENOL",50,,False,,False,"2,4-DICHLOROPHENOL",True,"2,4-Dichlorophenol",TR-353,DTXSID1020439,Equivocal,,,,,,,,,,No Evidence,True,"2,4-Dichlorophenol",DTXSID1020439,,,,,No Evidence,True
